MobilePhoneList [2009-06-29 08:00:00] By http://ke-tai.org/
"連番","メーカ名","機種名","機種略名","ユーザエージェント","タイプ１","タイプ２","ブラウザ幅(x)","ブラウザ高さ(y)","表示カラー数","ブラウザキャッシュ","GIF","JPG","PNG","Flash","Flashバージョン","Flashワークメモリ","Javaアプリ","BREW","HTML","SSL","ログイン","クッキー","CSS","GPS","発売日","備考","更新状況メモ","更新日"
"109","DoCoMo","F506i","F506i","DoCoMo/1.0/F506i","mova","5.0","240","268","","20","1","1","0","1","1.0","300","1","0","1","1","1","0","","","2004-05","","","2008-07-23 02:57:19"
"110","DoCoMo","N506i","N506i","DoCoMo/1.0/N506i","mova","5.0","240","295","","20","1","1","0","1","1.0","400","1","0","1","1","1","0","0","","2004-06","","","2008-01-24 19:21:53"
"111","DoCoMo","P506iC","P506iC","DoCoMo/1.0/P506iC","mova","5.0","240","266","65536","20","1","1","0","1","1.0","404","1","0","1","1","1","0","","","2004-07","P506iCIIとUAが同一","","2008-01-16 19:40:28"
"112","DoCoMo","SH506iC","SH506iC","DoCoMo/1.0/SH506iC","mova","5.0","240","252","","20","1","1","0","1","1.0","300","1","0","1","1","1","0","","","2004-07","","","2008-01-16 19:40:49"
"113","DoCoMo","SO506iC","SO506iC","DoCoMo/1.0/SO506iC","mova","5.0","240","256","","20","1","1","0","1","1.0","400","1","0","1","1","1","0","","","2004-07","","","2008-01-16 19:41:03"
"114","DoCoMo","N506iS","N506iS","DoCoMo/1.0/N506iS","mova","5.0","240","295","","20","1","1","0","1","1.0","400","1","0","1","1","1","0","","","2005-02","","","2008-01-17 14:28:24"
"115","DoCoMo","SO506i (premini-II)","SO506i","DoCoMo/1.0/SO506i","mova","5.0","240","256","","20","1","1","0","1","1.0","400","1","0","1","1","1","0","0","","2005-02","","","2008-01-17 14:28:24"
"116","DoCoMo","SO506iS (premini-IIS)","SO506iS","DoCoMo/1.0/SO506iS","mova","5.0","240","256","","20","1","1","0","1","1.0","400","1","0","1","1","1","0","","","2005-05","","","2008-01-17 14:28:24"
"117","DoCoMo","N506iSII","N506iSII","DoCoMo/1.0/N506iS2","mova","5.0","240","295","","20","1","1","0","1","1.0","400","1","0","1","1","1","0","","","2006-03","","","2008-01-17 14:28:25"
"118","DoCoMo","P506iCII","P506iC","DoCoMo/1.0/P506iC","mova","5.0","240","266","65536","20","1","1","0","1","1.0","404","1","0","1","1","1","0","","","2006-04","P506iCとUAが同一","","2008-01-17 14:28:25"
"119","DoCoMo","D253i","D253i","DoCoMo/1.0/D253i","mova","5.0","176","198","262144","10","1","1","0","0","","","0","0","1","1","1","0","","","2004-10","","","2008-01-17 14:28:24"
"120","DoCoMo","N253i","N253i","DoCoMo/1.0/N253i","mova","5.0","160","180","65536","10","1","1","0","0","","","0","0","1","1","1","0","","","2004-10","","","2008-01-17 14:28:24"
"121","DoCoMo","P253i","P253i","DoCoMo/1.0/P253i","mova","5.0","132","144","65536","10","1","1","0","0","","","0","0","1","1","1","0","","","2004-11","","","2008-01-17 14:28:24"
"122","DoCoMo","D253iWM (Music PORTER)","D253iWM","DoCoMo/1.0/D253iWM","mova","5.0","220","144","","10","1","1","0","0","","","0","0","1","1","1","0","","","2004-12","","","2008-01-17 14:28:24"
"123","DoCoMo","P253iS (Lechiffon)","P253iS","DoCoMo/1.0/P253iS","mova","5.0","132","144","65536","10","1","1","0","0","","","0","0","1","1","1","0","","","2005-02","","","2008-01-17 14:28:24"
"124","DoCoMo","P213i (prosolid)","P213i","DoCoMo/1.0/P213i","mova","5.0","132","144","65536","10","1","1","0","0","","","0","0","1","1","1","0","","","2004-12","","","2008-01-17 14:28:24"
"125","DoCoMo","F900i","F900i","DoCoMo/2.0 F900i","FOMA","5.0","230","240","","100","1","1","0","1","1.0","1000","1","0","1","1","1","0","","","2004-02","","","2009-06-22 15:00:17"
"126","DoCoMo","N900i","N900i","DoCoMo/2.0 N900i","FOMA","5.0","240","269","65536","100","1","1","0","1","1.0","1024","1","0","1","1","1","0","","","2004-02","","","2008-01-16 19:57:35"
