MobilePhoneList [2009-12-01 00:00:03] By http://ke-tai.org/
"連番","メーカ名","機種名","機種略名","ユーザエージェント","タイプ１","タイプ２","ブラウザ幅(x)","ブラウザ高さ(y)","表示カラー数","ブラウザキャッシュ","GIF","JPG","PNG","Flash","Flashバージョン","Flashワークメモリ","Javaアプリ","BREW","HTML","SSL","ログイン","クッキー","CSS","GPS","発売日","備考","更新状況メモ","更新日"
"93","DoCoMo","SH505i","SH505i","DoCoMo/1.0/SH505i","mova","5.0","240","252","242144","20","1","1","0","1","1.0","200","1","0","1","1","1","0","0","0","2003-06","","","2009-09-15 17:46:34"
"94","DoCoMo","N505i","N505i","DoCoMo/1.0/N505i","mova","5.0","240","270","242144","20","1","1","0","1","1.0","200","1","0","1","1","1","0","","0","2003-07","","","2009-09-15 17:48:51"
"95","DoCoMo","F505i","F505i","DoCoMo/1.0/F505i","mova","5.0","240","268","242144","20","1","1","0","1","1.0","300","1","0","1","1","1","0","","0","2003-07","","","2009-09-15 17:50:14"
"96","DoCoMo","P505i","P505i","DoCoMo/1.0/P505i","mova","5.0","240","266","65536","20","1","1","0","1","1.0","256","1","0","1","1","1","0","","0","2003-08","","","2009-09-15 17:51:16"
"97","DoCoMo","D505iS","D505iS","DoCoMo/1.0/D505iS","mova","5.0","240","270","242144","20","1","1","0","1","1.0","300","1","0","1","1","1","0","","0","2003-10","","","2009-09-15 17:52:03"
"98","DoCoMo","P505iS","P505iS","DoCoMo/1.0/P505iS","mova","5.0","240","266","65536","20","1","1","0","1","1.0","404","1","0","1","1","1","0","","0","2003-11","","","2009-09-15 17:52:36"
"99","DoCoMo","N505iS","N505iS","DoCoMo/1.0/N505iS","mova","5.0","240","270","242144","20","1","1","0","1","1.0","400","1","0","1","1","1","0","","0","2003-12","","","2009-09-15 17:53:34"
"100","DoCoMo","SO505iS","SO505iS","DoCoMo/1.0/SO505iS","mova","5.0","240","256","242144","20","1","1","0","1","1.0","400","1","0","1","1","1","0","","0","2003-12","","","2009-09-15 17:54:26"
"101","DoCoMo","SH505iS","SH505iS","DoCoMo/1.0/SH505iS","mova","5.0","240","252","242144","20","1","1","0","1","1.0","300","1","0","1","1","1","0","","0","2003-12","","","2009-11-11 18:59:46"
"102","DoCoMo","F505iGPS","F505iGPS","DoCoMo/1.0/F505iGPS","mova","5.0","240","268","242144","20","1","1","0","1","1.0","300","1","0","1","1","1","0","","1","2003-12","","","2009-09-15 17:55:52"
"103","DoCoMo","D252i","D252i","DoCoMo/1.0/D252i","mova","5.0","176","198","262144","10","1","1","0","0","","","0","0","1","1","1","0","","0","2003-09","","","2009-09-15 17:55:21"
"104","DoCoMo","SH252i","SH252i","DoCoMo/1.0/SH252i","mova","5.0","240","252","262144","20","1","1","0","0","","","0","0","1","1","1","0","","0","2003-10","","","2009-09-15 17:56:33"
"105","DoCoMo","P252i","P252i","DoCoMo/1.0/P252i","mova","5.0","132","144","65536","10","1","1","0","0","","","0","0","1","1","1","0","","0","2003-10","","","2009-09-15 19:14:30"
"106","DoCoMo","N252i","N252i","DoCoMo/1.0/N252i","mova","5.0","132","140","65536","10","1","1","0","0","","","0","0","1","1","1","0","","0","2003-10","","","2009-09-15 19:15:16"
"107","DoCoMo","P252iS","P252iS","DoCoMo/1.0/P252iS","mova","5.0","132","144","65536","10","1","1","0","0","","","0","0","1","1","1","0","","0","2004-04","","","2009-09-15 19:15:46"
"108","DoCoMo","D506i","D506i","DoCoMo/1.0/D506i","mova","5.0","240","270","242144","20","1","1","0","1","1.0","300","1","0","1","1","1","0","","0","2004-05","","","2009-09-15 19:18:29"
"109","DoCoMo","F506i","F506i","DoCoMo/1.0/F506i","mova","5.0","240","268","242144","20","1","1","0","1","1.0","300","1","0","1","1","1","0","","0","2004-05","","","2009-09-15 19:17:19"
"110","DoCoMo","N506i","N506i","DoCoMo/1.0/N506i","mova","5.0","240","295","242144","20","1","1","0","1","1.0","400","1","0","1","1","1","0","0","0","2004-06","","","2009-09-15 19:18:00"
"111","DoCoMo","P506iC","P506iC","DoCoMo/1.0/P506iC","mova","5.0","240","266","65536","20","1","1","0","1","1.0","404","1","0","1","1","1","0","","0","2004-07","P506iCIIとUAが同一","","2009-09-15 19:19:09"
"112","DoCoMo","SH506iC","SH506iC","DoCoMo/1.0/SH506iC","mova","5.0","240","252","262144","20","1","1","0","1","1.0","300","1","0","1","1","1","0","","0","2004-07","","","2009-09-15 19:19:49"
"113","DoCoMo","SO506iC","SO506iC","DoCoMo/1.0/SO506iC","mova","5.0","240","256","262144","20","1","1","0","1","1.0","400","1","0","1","1","1","0","","0","2004-07","","","2009-09-15 19:20:29"
"114","DoCoMo","N506iS","N506iS","DoCoMo/1.0/N506iS","mova","5.0","240","295","262144","20","1","1","0","1","1.0","400","1","0","1","1","1","0","","0","2005-02","","","2009-09-15 19:21:06"
"115","DoCoMo","SO506i (premini-II)","SO506i","DoCoMo/1.0/SO506i","mova","5.0","240","256","262144","20","1","1","0","1","1.0","400","1","0","1","1","1","0","0","0","2005-02","","","2009-09-15 19:22:19"
"116","DoCoMo","SO506iS (premini-IIS)","SO506iS","DoCoMo/1.0/SO506iS","mova","5.0","240","256","262144","20","1","1","0","1","1.0","400","1","0","1","1","1","0","","0","2005-05","","","2009-09-15 19:23:02"
